full_stimuli_id,sport,tag,rmc_background,vague_sentence,conditions,match-queries,newmatch-queries
tug-of-war_effort_team-strong-indirect-14-dec_win_how_much_explicit_continuous_variable_Val_strong,tug-of-war,team-strong-indirect-14-dec,"In this event, the athletes are competing in tug-of-war tournaments. Each tournament consists of a series of matches. In each match, athletes compete as part of a team.
An athlete’s intrinsic strength remains constant throughout a tournament. An athlete neither gets stronger nor weaker between matches. You can assume that all matches take place on the same day.
Athletes also vary in the effort that they put into any given match. Most of the time, people pull with a moderately high amount of effort. Sometimes, an athlete won’t put in much effort and will pull with only a fraction of their strength. Other times, they may put in a lot of effort and pull extra hard, beyond what their intrinsic strength would suggest.
How hard a team pulls overall in any given match is determined by the total amount that all of the athletes on the team pull in that match. How hard each athlete pulls in a given match is determined by their intrinsic strength, modified by how much effort they put in (a lower fraction of their intrinsic strength if they don’t put in much effort, or even more than their strength if they put in more effort).
The team that pulls the hardest in a given match wins.
Athletes compete either individually or as a team.
All matches take place on the same day.",Val is strong.,"In the first match, Val and Robin lost to Blake and Jamie.
In the second match, Robin and Gale beat Blake and Jamie.
In the third match, Robin and Kay beat Blake and Jamie.","Query 1: Out of 100 random athletes, where do you think Val ranks in terms of intrinsic strength?
Query 2: Out of 100 random athletes, where do you think Robin ranks in terms of intrinsic strength?
Query 3: Out of 100 random athletes, where do you think Blake ranks in terms of intrinsic strength?
Query 4: On a percentage scale from 0 to 100%, how much effort do you think Val put into the first match?
Query 5: On a percentage scale from 0 to 100%, how much effort do you think Robin put into the first match?
Query 6: On a percentage scale from 0 to 100%, how much effort do you think Blake put into the first match?","Query 7: In a new match later this same day between Val and Robin (Team 1) and Gale and Blake (Team 2), who would win and by how much?
Query 8: In a new match later this same day between Val and Blake (Team 1) and Robin and Jamie (Team 2), who would win and by how much?"
tug-of-war_effort_team-strong-indirect-14-dec_win_how_much_explicit_continuous_variable_Val_not weak,tug-of-war,team-strong-indirect-14-dec,"In this event, the athletes are competing in tug-of-war tournaments. Each tournament consists of a series of matches. In each match, athletes compete as part of a team.
An athlete’s intrinsic strength remains constant throughout a tournament. An athlete neither gets stronger nor weaker between matches. You can assume that all matches take place on the same day.
Athletes also vary in the effort that they put into any given match. Most of the time, people pull with a moderately high amount of effort. Sometimes, an athlete won’t put in much effort and will pull with only a fraction of their strength. Other times, they may put in a lot of effort and pull extra hard, beyond what their intrinsic strength would suggest.
How hard a team pulls overall in any given match is determined by the total amount that all of the athletes on the team pull in that match. How hard each athlete pulls in a given match is determined by their intrinsic strength, modified by how much effort they put in (a lower fraction of their intrinsic strength if they don’t put in much effort, or even more than their strength if they put in more effort).
The team that pulls the hardest in a given match wins.
Athletes compete either individually or as a team.
All matches take place on the same day.",Val is not weak.,"In the first match, Val and Robin lost to Blake and Jamie.
In the second match, Robin and Gale beat Blake and Jamie.
In the third match, Robin and Kay beat Blake and Jamie.","Query 1: Out of 100 random athletes, where do you think Val ranks in terms of intrinsic strength?
Query 2: Out of 100 random athletes, where do you think Robin ranks in terms of intrinsic strength?
Query 3: Out of 100 random athletes, where do you think Blake ranks in terms of intrinsic strength?
Query 4: On a percentage scale from 0 to 100%, how much effort do you think Val put into the first match?
Query 5: On a percentage scale from 0 to 100%, how much effort do you think Robin put into the first match?
Query 6: On a percentage scale from 0 to 100%, how much effort do you think Blake put into the first match?","Query 7: In a new match later this same day between Val and Robin (Team 1) and Gale and Blake (Team 2), who would win and by how much?
Query 8: In a new match later this same day between Val and Blake (Team 1) and Robin and Jamie (Team 2), who would win and by how much?"
tug-of-war_effort_team-strong-indirect-14-dec_win_how_much_explicit_continuous_variable_Val_somewhat strong,tug-of-war,team-strong-indirect-14-dec,"In this event, the athletes are competing in tug-of-war tournaments. Each tournament consists of a series of matches. In each match, athletes compete as part of a team.
An athlete’s intrinsic strength remains constant throughout a tournament. An athlete neither gets stronger nor weaker between matches. You can assume that all matches take place on the same day.
Athletes also vary in the effort that they put into any given match. Most of the time, people pull with a moderately high amount of effort. Sometimes, an athlete won’t put in much effort and will pull with only a fraction of their strength. Other times, they may put in a lot of effort and pull extra hard, beyond what their intrinsic strength would suggest.
How hard a team pulls overall in any given match is determined by the total amount that all of the athletes on the team pull in that match. How hard each athlete pulls in a given match is determined by their intrinsic strength, modified by how much effort they put in (a lower fraction of their intrinsic strength if they don’t put in much effort, or even more than their strength if they put in more effort).
The team that pulls the hardest in a given match wins.
Athletes compete either individually or as a team.
All matches take place on the same day.",Val is somewhat strong.,"In the first match, Val and Robin lost to Blake and Jamie.
In the second match, Robin and Gale beat Blake and Jamie.
In the third match, Robin and Kay beat Blake and Jamie.","Query 1: Out of 100 random athletes, where do you think Val ranks in terms of intrinsic strength?
Query 2: Out of 100 random athletes, where do you think Robin ranks in terms of intrinsic strength?
Query 3: Out of 100 random athletes, where do you think Blake ranks in terms of intrinsic strength?
Query 4: On a percentage scale from 0 to 100%, how much effort do you think Val put into the first match?
Query 5: On a percentage scale from 0 to 100%, how much effort do you think Robin put into the first match?
Query 6: On a percentage scale from 0 to 100%, how much effort do you think Blake put into the first match?","Query 7: In a new match later this same day between Val and Robin (Team 1) and Gale and Blake (Team 2), who would win and by how much?
Query 8: In a new match later this same day between Val and Blake (Team 1) and Robin and Jamie (Team 2), who would win and by how much?"
tug-of-war_effort_team-strong-indirect-14-dec_win_how_much_explicit_continuous_variable_Val_pretty strong,tug-of-war,team-strong-indirect-14-dec,"In this event, the athletes are competing in tug-of-war tournaments. Each tournament consists of a series of matches. In each match, athletes compete as part of a team.
An athlete’s intrinsic strength remains constant throughout a tournament. An athlete neither gets stronger nor weaker between matches. You can assume that all matches take place on the same day.
Athletes also vary in the effort that they put into any given match. Most of the time, people pull with a moderately high amount of effort. Sometimes, an athlete won’t put in much effort and will pull with only a fraction of their strength. Other times, they may put in a lot of effort and pull extra hard, beyond what their intrinsic strength would suggest.
How hard a team pulls overall in any given match is determined by the total amount that all of the athletes on the team pull in that match. How hard each athlete pulls in a given match is determined by their intrinsic strength, modified by how much effort they put in (a lower fraction of their intrinsic strength if they don’t put in much effort, or even more than their strength if they put in more effort).
The team that pulls the hardest in a given match wins.
Athletes compete either individually or as a team.
All matches take place on the same day.",Val is pretty strong.,"In the first match, Val and Robin lost to Blake and Jamie.
In the second match, Robin and Gale beat Blake and Jamie.
In the third match, Robin and Kay beat Blake and Jamie.","Query 1: Out of 100 random athletes, where do you think Val ranks in terms of intrinsic strength?
Query 2: Out of 100 random athletes, where do you think Robin ranks in terms of intrinsic strength?
Query 3: Out of 100 random athletes, where do you think Blake ranks in terms of intrinsic strength?
Query 4: On a percentage scale from 0 to 100%, how much effort do you think Val put into the first match?
Query 5: On a percentage scale from 0 to 100%, how much effort do you think Robin put into the first match?
Query 6: On a percentage scale from 0 to 100%, how much effort do you think Blake put into the first match?","Query 7: In a new match later this same day between Val and Robin (Team 1) and Gale and Blake (Team 2), who would win and by how much?
Query 8: In a new match later this same day between Val and Blake (Team 1) and Robin and Jamie (Team 2), who would win and by how much?"
tug-of-war_effort_team-strong-indirect-14-dec_win_how_much_explicit_continuous_variable_Val_very strong,tug-of-war,team-strong-indirect-14-dec,"In this event, the athletes are competing in tug-of-war tournaments. Each tournament consists of a series of matches. In each match, athletes compete as part of a team.
An athlete’s intrinsic strength remains constant throughout a tournament. An athlete neither gets stronger nor weaker between matches. You can assume that all matches take place on the same day.
Athletes also vary in the effort that they put into any given match. Most of the time, people pull with a moderately high amount of effort. Sometimes, an athlete won’t put in much effort and will pull with only a fraction of their strength. Other times, they may put in a lot of effort and pull extra hard, beyond what their intrinsic strength would suggest.
How hard a team pulls overall in any given match is determined by the total amount that all of the athletes on the team pull in that match. How hard each athlete pulls in a given match is determined by their intrinsic strength, modified by how much effort they put in (a lower fraction of their intrinsic strength if they don’t put in much effort, or even more than their strength if they put in more effort).
The team that pulls the hardest in a given match wins.
Athletes compete either individually or as a team.
All matches take place on the same day.",Val is very strong.,"In the first match, Val and Robin lost to Blake and Jamie.
In the second match, Robin and Gale beat Blake and Jamie.
In the third match, Robin and Kay beat Blake and Jamie.","Query 1: Out of 100 random athletes, where do you think Val ranks in terms of intrinsic strength?
Query 2: Out of 100 random athletes, where do you think Robin ranks in terms of intrinsic strength?
Query 3: Out of 100 random athletes, where do you think Blake ranks in terms of intrinsic strength?
Query 4: On a percentage scale from 0 to 100%, how much effort do you think Val put into the first match?
Query 5: On a percentage scale from 0 to 100%, how much effort do you think Robin put into the first match?
Query 6: On a percentage scale from 0 to 100%, how much effort do you think Blake put into the first match?","Query 7: In a new match later this same day between Val and Robin (Team 1) and Gale and Blake (Team 2), who would win and by how much?
Query 8: In a new match later this same day between Val and Blake (Team 1) and Robin and Jamie (Team 2), who would win and by how much?"
tug-of-war_effort_team-strong-indirect-14-dec_win_how_much_explicit_continuous_variable_Val_not so weak,tug-of-war,team-strong-indirect-14-dec,"In this event, the athletes are competing in tug-of-war tournaments. Each tournament consists of a series of matches. In each match, athletes compete as part of a team.
An athlete’s intrinsic strength remains constant throughout a tournament. An athlete neither gets stronger nor weaker between matches. You can assume that all matches take place on the same day.
Athletes also vary in the effort that they put into any given match. Most of the time, people pull with a moderately high amount of effort. Sometimes, an athlete won’t put in much effort and will pull with only a fraction of their strength. Other times, they may put in a lot of effort and pull extra hard, beyond what their intrinsic strength would suggest.
How hard a team pulls overall in any given match is determined by the total amount that all of the athletes on the team pull in that match. How hard each athlete pulls in a given match is determined by their intrinsic strength, modified by how much effort they put in (a lower fraction of their intrinsic strength if they don’t put in much effort, or even more than their strength if they put in more effort).
The team that pulls the hardest in a given match wins.
Athletes compete either individually or as a team.
All matches take place on the same day.",Val is not so weak.,"In the first match, Val and Robin lost to Blake and Jamie.
In the second match, Robin and Gale beat Blake and Jamie.
In the third match, Robin and Kay beat Blake and Jamie.","Query 1: Out of 100 random athletes, where do you think Val ranks in terms of intrinsic strength?
Query 2: Out of 100 random athletes, where do you think Robin ranks in terms of intrinsic strength?
Query 3: Out of 100 random athletes, where do you think Blake ranks in terms of intrinsic strength?
Query 4: On a percentage scale from 0 to 100%, how much effort do you think Val put into the first match?
Query 5: On a percentage scale from 0 to 100%, how much effort do you think Robin put into the first match?
Query 6: On a percentage scale from 0 to 100%, how much effort do you think Blake put into the first match?","Query 7: In a new match later this same day between Val and Robin (Team 1) and Gale and Blake (Team 2), who would win and by how much?
Query 8: In a new match later this same day between Val and Blake (Team 1) and Robin and Jamie (Team 2), who would win and by how much?"
tug-of-war_effort_team-strong-indirect-14-dec_win_how_much_explicit_continuous_variable_Val_not that weak,tug-of-war,team-strong-indirect-14-dec,"In this event, the athletes are competing in tug-of-war tournaments. Each tournament consists of a series of matches. In each match, athletes compete as part of a team.
An athlete’s intrinsic strength remains constant throughout a tournament. An athlete neither gets stronger nor weaker between matches. You can assume that all matches take place on the same day.
Athletes also vary in the effort that they put into any given match. Most of the time, people pull with a moderately high amount of effort. Sometimes, an athlete won’t put in much effort and will pull with only a fraction of their strength. Other times, they may put in a lot of effort and pull extra hard, beyond what their intrinsic strength would suggest.
How hard a team pulls overall in any given match is determined by the total amount that all of the athletes on the team pull in that match. How hard each athlete pulls in a given match is determined by their intrinsic strength, modified by how much effort they put in (a lower fraction of their intrinsic strength if they don’t put in much effort, or even more than their strength if they put in more effort).
The team that pulls the hardest in a given match wins.
Athletes compete either individually or as a team.
All matches take place on the same day.",Val is not that weak.,"In the first match, Val and Robin lost to Blake and Jamie.
In the second match, Robin and Gale beat Blake and Jamie.
In the third match, Robin and Kay beat Blake and Jamie.","Query 1: Out of 100 random athletes, where do you think Val ranks in terms of intrinsic strength?
Query 2: Out of 100 random athletes, where do you think Robin ranks in terms of intrinsic strength?
Query 3: Out of 100 random athletes, where do you think Blake ranks in terms of intrinsic strength?
Query 4: On a percentage scale from 0 to 100%, how much effort do you think Val put into the first match?
Query 5: On a percentage scale from 0 to 100%, how much effort do you think Robin put into the first match?
Query 6: On a percentage scale from 0 to 100%, how much effort do you think Blake put into the first match?","Query 7: In a new match later this same day between Val and Robin (Team 1) and Gale and Blake (Team 2), who would win and by how much?
Query 8: In a new match later this same day between Val and Blake (Team 1) and Robin and Jamie (Team 2), who would win and by how much?"
tug-of-war_effort_team-strong-indirect-14-dec_win_how_much_explicit_continuous_variable_Val_not very weak,tug-of-war,team-strong-indirect-14-dec,"In this event, the athletes are competing in tug-of-war tournaments. Each tournament consists of a series of matches. In each match, athletes compete as part of a team.
An athlete’s intrinsic strength remains constant throughout a tournament. An athlete neither gets stronger nor weaker between matches. You can assume that all matches take place on the same day.
Athletes also vary in the effort that they put into any given match. Most of the time, people pull with a moderately high amount of effort. Sometimes, an athlete won’t put in much effort and will pull with only a fraction of their strength. Other times, they may put in a lot of effort and pull extra hard, beyond what their intrinsic strength would suggest.
How hard a team pulls overall in any given match is determined by the total amount that all of the athletes on the team pull in that match. How hard each athlete pulls in a given match is determined by their intrinsic strength, modified by how much effort they put in (a lower fraction of their intrinsic strength if they don’t put in much effort, or even more than their strength if they put in more effort).
The team that pulls the hardest in a given match wins.
Athletes compete either individually or as a team.
All matches take place on the same day.",Val is not very weak.,"In the first match, Val and Robin lost to Blake and Jamie.
In the second match, Robin and Gale beat Blake and Jamie.
In the third match, Robin and Kay beat Blake and Jamie.","Query 1: Out of 100 random athletes, where do you think Val ranks in terms of intrinsic strength?
Query 2: Out of 100 random athletes, where do you think Robin ranks in terms of intrinsic strength?
Query 3: Out of 100 random athletes, where do you think Blake ranks in terms of intrinsic strength?
Query 4: On a percentage scale from 0 to 100%, how much effort do you think Val put into the first match?
Query 5: On a percentage scale from 0 to 100%, how much effort do you think Robin put into the first match?
Query 6: On a percentage scale from 0 to 100%, how much effort do you think Blake put into the first match?","Query 7: In a new match later this same day between Val and Robin (Team 1) and Gale and Blake (Team 2), who would win and by how much?
Query 8: In a new match later this same day between Val and Blake (Team 1) and Robin and Jamie (Team 2), who would win and by how much?"
tug-of-war_effort_team-strong-indirect-14-dec_win_how_much_explicit_continuous_variable_Val_weak,tug-of-war,team-strong-indirect-14-dec,"In this event, the athletes are competing in tug-of-war tournaments. Each tournament consists of a series of matches. In each match, athletes compete as part of a team.
An athlete’s intrinsic strength remains constant throughout a tournament. An athlete neither gets stronger nor weaker between matches. You can assume that all matches take place on the same day.
Athletes also vary in the effort that they put into any given match. Most of the time, people pull with a moderately high amount of effort. Sometimes, an athlete won’t put in much effort and will pull with only a fraction of their strength. Other times, they may put in a lot of effort and pull extra hard, beyond what their intrinsic strength would suggest.
How hard a team pulls overall in any given match is determined by the total amount that all of the athletes on the team pull in that match. How hard each athlete pulls in a given match is determined by their intrinsic strength, modified by how much effort they put in (a lower fraction of their intrinsic strength if they don’t put in much effort, or even more than their strength if they put in more effort).
The team that pulls the hardest in a given match wins.
Athletes compete either individually or as a team.
All matches take place on the same day.",Val is weak.,"In the first match, Val and Robin lost to Blake and Jamie.
In the second match, Robin and Gale beat Blake and Jamie.
In the third match, Robin and Kay beat Blake and Jamie.","Query 1: Out of 100 random athletes, where do you think Val ranks in terms of intrinsic strength?
Query 2: Out of 100 random athletes, where do you think Robin ranks in terms of intrinsic strength?
Query 3: Out of 100 random athletes, where do you think Blake ranks in terms of intrinsic strength?
Query 4: On a percentage scale from 0 to 100%, how much effort do you think Val put into the first match?
Query 5: On a percentage scale from 0 to 100%, how much effort do you think Robin put into the first match?
Query 6: On a percentage scale from 0 to 100%, how much effort do you think Blake put into the first match?","Query 7: In a new match later this same day between Val and Robin (Team 1) and Gale and Blake (Team 2), who would win and by how much?
Query 8: In a new match later this same day between Val and Blake (Team 1) and Robin and Jamie (Team 2), who would win and by how much?"
tug-of-war_effort_team-strong-indirect-14-dec_win_how_much_explicit_continuous_variable_Val_not strong,tug-of-war,team-strong-indirect-14-dec,"In this event, the athletes are competing in tug-of-war tournaments. Each tournament consists of a series of matches. In each match, athletes compete as part of a team.
An athlete’s intrinsic strength remains constant throughout a tournament. An athlete neither gets stronger nor weaker between matches. You can assume that all matches take place on the same day.
Athletes also vary in the effort that they put into any given match. Most of the time, people pull with a moderately high amount of effort. Sometimes, an athlete won’t put in much effort and will pull with only a fraction of their strength. Other times, they may put in a lot of effort and pull extra hard, beyond what their intrinsic strength would suggest.
How hard a team pulls overall in any given match is determined by the total amount that all of the athletes on the team pull in that match. How hard each athlete pulls in a given match is determined by their intrinsic strength, modified by how much effort they put in (a lower fraction of their intrinsic strength if they don’t put in much effort, or even more than their strength if they put in more effort).
The team that pulls the hardest in a given match wins.
Athletes compete either individually or as a team.
All matches take place on the same day.",Val is not strong.,"In the first match, Val and Robin lost to Blake and Jamie.
In the second match, Robin and Gale beat Blake and Jamie.
In the third match, Robin and Kay beat Blake and Jamie.","Query 1: Out of 100 random athletes, where do you think Val ranks in terms of intrinsic strength?
Query 2: Out of 100 random athletes, where do you think Robin ranks in terms of intrinsic strength?
Query 3: Out of 100 random athletes, where do you think Blake ranks in terms of intrinsic strength?
Query 4: On a percentage scale from 0 to 100%, how much effort do you think Val put into the first match?
Query 5: On a percentage scale from 0 to 100%, how much effort do you think Robin put into the first match?
Query 6: On a percentage scale from 0 to 100%, how much effort do you think Blake put into the first match?","Query 7: In a new match later this same day between Val and Robin (Team 1) and Gale and Blake (Team 2), who would win and by how much?
Query 8: In a new match later this same day between Val and Blake (Team 1) and Robin and Jamie (Team 2), who would win and by how much?"
