,stimuli_id,background,scenario,questions,outcomes,commentary,model_descr_variant
0,tug-of-war_effort_team-strong-indirect-14-dec_win_how_much_explicit_continuous_variable.txt,"In this event, the athletes are competing in tug-of-war tournaments. Each tournament consists of a series of matches. In each match, athletes compete as part of a team. 

An athlete’s intrinsic strength remains constant throughout a tournament. An athlete neither gets stronger nor weaker between matches. You can assume that all matches take place on the same day.

Athletes also vary in the effort that they put into any given match. Most of the time, people pull with a moderately high amount of effort. Sometimes, an athlete won’t put in much effort and will pull with only a fraction of their strength. Other times, they may put in a lot of effort and pull extra hard, beyond what their intrinsic strength would suggest.

How hard a team pulls overall in any given match is determined by the total amount that all of the athletes on the team pull in that match. How hard each athlete pulls in a given match is determined by their intrinsic strength, modified by how much effort they put in (a lower fraction of their intrinsic strength if they don’t put in much effort, or even more than their strength if they put in more effort).

The team that pulls the hardest in a given match wins.
 
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first match, Val and Robin lost to Blake and Jamie.
In the second match, Robin and Gale beat Blake and Jamie.
In the third match, Robin and Kay beat Blake and Jamie.","['Query 1: Out of 100 random athletes, where do you think Val ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Robin ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Blake ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how much effort do you think Val put into the first match?', 'Query 5: On a percentage scale from 0 to 100%, how much effort do you think Robin put into the first match?', 'Query 6: On a percentage scale from 0 to 100%, how much effort do you think Blake put into the first match?', 'Query 7: In a new match later this same day between Val and Robin (Team 1) and Gale and Blake (Team 2), who would win and by how much?', 'Query 8: In a new match later this same day between Val and Blake (Team 1) and Robin and Jamie (Team 2), who would win and by how much?']","In the first match, Val and Robin lost to Blake and Jamie.
In the second match, Robin and Gale beat Blake and Jamie.
In the third match, Robin and Kay beat Blake and Jamie.",,explicit
1,canoe-race_effort_team-strong-indirect-14-dec_win_how_much_explicit_continuous_variable.txt,"
In this event, the athletes are competing in a series of canoe racing tournaments. Each tournament consists of a series of races. In each race, athletes compete as part of a team. 

An athlete's intrinsic strength remains constant throughout a tournament. An athlete neither gets stronger nor weaker between races. You can assume that all matches take place on the same day.

Athletes also vary in the effort that they put into any given race. Most of the time, people row with a moderately high amount of effort. Sometimes, an athlete won’t put in much effort and will row with only a fraction of their strength. Other times, they may put in a lot of effort and row extra hard, beyond what their intrinsic strength would suggest.

How fast a team rows overall in any given race is determined by the average rowing speed of each athlete. How fast an athlete rows in a given race is determined by their intrinsic strength, modified by how much effort they put in (a lower fraction of their intrinsic strength if they don’t put in much effort, or even more than their strength if they put in more effort).

The team that rows the fastest (highest team speed) in a given race wins.
                   
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first race, Robin and Willow lost to Gale and Ollie.
In the second race, Willow and Drew beat Gale and Ollie.
In the third race, Willow and Val beat Gale and Ollie.","['Query 1: Out of 100 random athletes, where do you think Robin ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Willow ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Gale ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how much effort do you think Robin put into the first race?', 'Query 5: On a percentage scale from 0 to 100%, how much effort do you think Willow put into the first race?', 'Query 6: On a percentage scale from 0 to 100%, how much effort do you think Gale put into the first race?', 'Query 7: In a new race later this same day between Robin and Willow (Team 1) and Drew and Gale (Team 2), who would win and by how much?', 'Query 8: In a new race later this same day between Robin and Gale (Team 1) and Willow and Ollie (Team 2), who would win and by how much?']","In the first race, Robin and Willow lost to Gale and Ollie.
In the second race, Willow and Drew beat Gale and Ollie.
In the third race, Willow and Val beat Gale and Ollie.",,explicit
2,diving_difficulty_team-strong-indirect-14-dec_win_how_much_explicit_continuous_variable.txt,"
In this event, the athletes are competing in a series of synchronized diving tournaments. Each tournament consists of a series of rounds. In each match, athletes compete as part of a team. 

In a given round, each team receives a score based on the difficulty of the dive and the execution of the dive. 

How difficult of a dive a team takes on varies in any given round. Teams can differ in the difficulty they attempt on any given round. The same team may try different levels of difficulty on different rounds. The dives each team takes in a given match are chosen before the tournament begins and are therefore independent of the outcome of the previous round.

A team’s execution score is based on the average skill of the athletes on the team and how difficult the attempted dive was. If the athletes are highly skilled, but the dive is very difficult, they may not execute well. Conversely, if athletes are highly skilled but the dive is not very difficult, the team may get a high execution score.

Note that an athlete’s intrinsic skill remains constant throughout a tournament. An athlete neither gets more nor less skilled between rounds. You can assume that all rounds take place on the same day.

A team’s overall score is determined by the sum of the difficulty and execution scores. Difficulty and execution scores are weighted equally. 

The team that gets the highest score in any given round wins.

Athletes compete either individually or as a team.
All matches take place on the same day.","In the first round, Fey and Quinn lost to Avery and Emery.
In the second round, Quinn and Ness beat Avery and Emery.
In the third round, Quinn and Val beat Avery and Emery.","['Query 1: Out of 100 random athletes, where do you think Fey ranks in terms of intrinsic skill?', 'Query 2: Out of 100 random athletes, where do you think Quinn ranks in terms of intrinsic skill?', 'Query 3: Out of 100 random athletes, where do you think Avery ranks in terms of intrinsic skill?', 'Query 4: On a percentage scale from 0 to 100% (where 0=extremely easy, 100=as difficult as possible), how difficult of a dive do you think the team Fey was on in first round attempted?', 'Query 5: On a percentage scale from 0 to 100% (where 0=extremely easy, 100=as difficult as possible), how difficult of a dive do you think the team Quinn was on in first round attempted?', 'Query 6: On a percentage scale from 0 to 100% (where 0=extremely easy, 100=as difficult as possible), how difficult of a dive do you think the team Avery was on in first round attempted?', 'Query 7: In a new round later this same day between Fey and Quinn (Team 1) and Ness and Avery (Team 2), who would win and by how much?', 'Query 8: In a new round later this same day between Fey and Avery (Team 1) and Quinn and Emery (Team 2), who would win and by how much?']","In the first round, Fey and Quinn lost to Avery and Emery.
In the second round, Quinn and Ness beat Avery and Emery.
In the third round, Quinn and Val beat Avery and Emery.",,explicit
3,biathalon_shooting-accuracy_team-strong-indirect-14-dec_win_how_much_explicit_continuous_variable.txt,"
In this event, the athletes are competing in a series of biathlon relay tournaments, a winter sport that combines cross-country skiing races and rifle shooting. Each tournament consists of a series of rounds.

In each round, athletes compete on teams. In a biathlon, each athlete first skis a short distance, then shoots at a target.

Athletes are scored based on how fast they ski and how accurately they shoot. An athlete’s ability to ski is based on their intrinsic strength. Note that an athlete’s intrinsic strength remains constant throughout a tournament. An athlete neither gets stronger nor weaker between rounds. You can assume that all matches take place on the same day.

An athlete’s ability to shoot accurately is unrelated to their intrinsic strength. An athlete who is intrinsically strong may be a very good shooter, a very bad shooter, or something in between. Athlete’s shooting accuracy in any given round is also somewhat down to chance. 

A team’s overall score is determined by the sum of the scores for each athlete per event. Ski performance and shooting accuracy are weighted equally. Athletes receive more points for skiing faster and more points for achieving a high shooting accuracy.

The team that completes the course with the highest score wins. 

Athletes compete either individually or as a team.
All matches take place on the same day.","In the first round, Avery and Blake lost to Kay and Drew.
In the second round, Blake and Peyton beat Kay and Drew.
In the third round, Blake and Willow beat Kay and Drew.","['Query 1: Out of 100 random athletes, where do you think Avery ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Blake ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Kay ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how accurate do you think Avery was at shooting in the first round?', 'Query 5: On a percentage scale from 0 to 100%, how accurate do you think Blake was at shooting in the first round?', 'Query 6: On a percentage scale from 0 to 100%, how accurate do you think Kay was at shooting in the first round?', 'Query 7: In a new round later this same day between Avery and Blake (Team 1) and Peyton and Kay (Team 2), who would win and by how much?', 'Query 8: In a new round later this same day between Avery and Kay (Team 1) and Blake and Drew (Team 2), who would win and by how much?']","In the first round, Avery and Blake lost to Kay and Drew.
In the second round, Blake and Peyton beat Kay and Drew.
In the third round, Blake and Willow beat Kay and Drew.",,explicit
4,tug-of-war_effort_team-weak-indirect-16-dec_win_how_much_explicit_continuous_variable.txt,"In this event, the athletes are competing in tug-of-war tournaments. Each tournament consists of a series of matches. In each match, athletes compete as part of a team. 

An athlete’s intrinsic strength remains constant throughout a tournament. An athlete neither gets stronger nor weaker between matches. You can assume that all matches take place on the same day.

Athletes also vary in the effort that they put into any given match. Most of the time, people pull with a moderately high amount of effort. Sometimes, an athlete won’t put in much effort and will pull with only a fraction of their strength. Other times, they may put in a lot of effort and pull extra hard, beyond what their intrinsic strength would suggest.

How hard a team pulls overall in any given match is determined by the total amount that all of the athletes on the team pull in that match. How hard each athlete pulls in a given match is determined by their intrinsic strength, modified by how much effort they put in (a lower fraction of their intrinsic strength if they don’t put in much effort, or even more than their strength if they put in more effort).

The team that pulls the hardest in a given match wins.
 
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first match, Emery and Casey lost to Fey and Blake.
In the second match, Casey and Harper lost to Fey and Blake.
In the third match, Casey and Jamie lost to Fey and Blake.","['Query 1: Out of 100 random athletes, where do you think Emery ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Casey ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Fey ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how much effort do you think Emery put into the first match?', 'Query 5: On a percentage scale from 0 to 100%, how much effort do you think Casey put into the first match?', 'Query 6: On a percentage scale from 0 to 100%, how much effort do you think Fey put into the first match?', 'Query 7: In a new match later this same day between Emery and Casey (Team 1) and Harper and Fey (Team 2), who would win and by how much?', 'Query 8: In a new match later this same day between Emery and Fey (Team 1) and Casey and Blake (Team 2), who would win and by how much?']","In the first match, Emery and Casey lost to Fey and Blake.
In the second match, Casey and Harper lost to Fey and Blake.
In the third match, Casey and Jamie lost to Fey and Blake.",,explicit
5,canoe-race_effort_team-weak-indirect-16-dec_win_how_much_explicit_continuous_variable.txt,"
In this event, the athletes are competing in a series of canoe racing tournaments. Each tournament consists of a series of races. In each race, athletes compete as part of a team. 

An athlete's intrinsic strength remains constant throughout a tournament. An athlete neither gets stronger nor weaker between races. You can assume that all matches take place on the same day.

Athletes also vary in the effort that they put into any given race. Most of the time, people row with a moderately high amount of effort. Sometimes, an athlete won’t put in much effort and will row with only a fraction of their strength. Other times, they may put in a lot of effort and row extra hard, beyond what their intrinsic strength would suggest.

How fast a team rows overall in any given race is determined by the average rowing speed of each athlete. How fast an athlete rows in a given race is determined by their intrinsic strength, modified by how much effort they put in (a lower fraction of their intrinsic strength if they don’t put in much effort, or even more than their strength if they put in more effort).

The team that rows the fastest (highest team speed) in a given race wins.
                   
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first race, Quinn and Val lost to Willow and Ollie.
In the second race, Val and Ness lost to Willow and Ollie.
In the third race, Val and Gale lost to Willow and Ollie.","['Query 1: Out of 100 random athletes, where do you think Quinn ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Val ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Willow ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how much effort do you think Quinn put into the first race?', 'Query 5: On a percentage scale from 0 to 100%, how much effort do you think Val put into the first race?', 'Query 6: On a percentage scale from 0 to 100%, how much effort do you think Willow put into the first race?', 'Query 7: In a new race later this same day between Quinn and Val (Team 1) and Ness and Willow (Team 2), who would win and by how much?', 'Query 8: In a new race later this same day between Quinn and Willow (Team 1) and Val and Ollie (Team 2), who would win and by how much?']","In the first race, Quinn and Val lost to Willow and Ollie.
In the second race, Val and Ness lost to Willow and Ollie.
In the third race, Val and Gale lost to Willow and Ollie.",,explicit
6,diving_difficulty_team-weak-indirect-16-dec_win_how_much_explicit_continuous_variable.txt,"
In this event, the athletes are competing in a series of synchronized diving tournaments. Each tournament consists of a series of rounds. In each match, athletes compete as part of a team. 

In a given round, each team receives a score based on the difficulty of the dive and the execution of the dive. 

How difficult of a dive a team takes on varies in any given round. Teams can differ in the difficulty they attempt on any given round. The same team may try different levels of difficulty on different rounds. The dives each team takes in a given match are chosen before the tournament begins and are therefore independent of the outcome of the previous round.

A team’s execution score is based on the average skill of the athletes on the team and how difficult the attempted dive was. If the athletes are highly skilled, but the dive is very difficult, they may not execute well. Conversely, if athletes are highly skilled but the dive is not very difficult, the team may get a high execution score.

Note that an athlete’s intrinsic skill remains constant throughout a tournament. An athlete neither gets more nor less skilled between rounds. You can assume that all rounds take place on the same day.

A team’s overall score is determined by the sum of the difficulty and execution scores. Difficulty and execution scores are weighted equally. 

The team that gets the highest score in any given round wins.

Athletes compete either individually or as a team.
All matches take place on the same day.","In the first round, Avery and Lane lost to Jamie and Fey.
In the second round, Lane and Drew lost to Jamie and Fey.
In the third round, Lane and Ness lost to Jamie and Fey.","['Query 1: Out of 100 random athletes, where do you think Avery ranks in terms of intrinsic skill?', 'Query 2: Out of 100 random athletes, where do you think Lane ranks in terms of intrinsic skill?', 'Query 3: Out of 100 random athletes, where do you think Jamie ranks in terms of intrinsic skill?', 'Query 4: On a percentage scale from 0 to 100% (where 0=extremely easy, 100=as difficult as possible), how difficult of a dive do you think the team Avery was on in first round attempted?', 'Query 5: On a percentage scale from 0 to 100% (where 0=extremely easy, 100=as difficult as possible), how difficult of a dive do you think the team Lane was on in first round attempted?', 'Query 6: On a percentage scale from 0 to 100% (where 0=extremely easy, 100=as difficult as possible), how difficult of a dive do you think the team Jamie was on in first round attempted?', 'Query 7: In a new round later this same day between Avery and Lane (Team 1) and Drew and Jamie (Team 2), who would win and by how much?', 'Query 8: In a new round later this same day between Avery and Jamie (Team 1) and Lane and Fey (Team 2), who would win and by how much?']","In the first round, Avery and Lane lost to Jamie and Fey.
In the second round, Lane and Drew lost to Jamie and Fey.
In the third round, Lane and Ness lost to Jamie and Fey.",,explicit
7,biathalon_shooting-accuracy_team-weak-indirect-16-dec_win_how_much_explicit_continuous_variable.txt,"
In this event, the athletes are competing in a series of biathlon relay tournaments, a winter sport that combines cross-country skiing races and rifle shooting. Each tournament consists of a series of rounds.

In each round, athletes compete on teams. In a biathlon, each athlete first skis a short distance, then shoots at a target.

Athletes are scored based on how fast they ski and how accurately they shoot. An athlete’s ability to ski is based on their intrinsic strength. Note that an athlete’s intrinsic strength remains constant throughout a tournament. An athlete neither gets stronger nor weaker between rounds. You can assume that all matches take place on the same day.

An athlete’s ability to shoot accurately is unrelated to their intrinsic strength. An athlete who is intrinsically strong may be a very good shooter, a very bad shooter, or something in between. Athlete’s shooting accuracy in any given round is also somewhat down to chance. 

A team’s overall score is determined by the sum of the scores for each athlete per event. Ski performance and shooting accuracy are weighted equally. Athletes receive more points for skiing faster and more points for achieving a high shooting accuracy.

The team that completes the course with the highest score wins. 

Athletes compete either individually or as a team.
All matches take place on the same day.","In the first round, Quinn and Ness lost to Emery and Casey.
In the second round, Ness and Robin lost to Emery and Casey.
In the third round, Ness and Indiana lost to Emery and Casey.","['Query 1: Out of 100 random athletes, where do you think Quinn ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Ness ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Emery ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how accurate do you think Quinn was at shooting in the first round?', 'Query 5: On a percentage scale from 0 to 100%, how accurate do you think Ness was at shooting in the first round?', 'Query 6: On a percentage scale from 0 to 100%, how accurate do you think Emery was at shooting in the first round?', 'Query 7: In a new round later this same day between Quinn and Ness (Team 1) and Robin and Emery (Team 2), who would win and by how much?', 'Query 8: In a new round later this same day between Quinn and Emery (Team 1) and Ness and Casey (Team 2), who would win and by how much?']","In the first round, Quinn and Ness lost to Emery and Casey.
In the second round, Ness and Robin lost to Emery and Casey.
In the third round, Ness and Indiana lost to Emery and Casey.",,explicit
8,tug-of-war_effort_team-explain-away-11-dec_win_how_much_explicit_continuous_variable.txt,"In this event, the athletes are competing in tug-of-war tournaments. Each tournament consists of a series of matches. In each match, athletes compete as part of a team. 

An athlete’s intrinsic strength remains constant throughout a tournament. An athlete neither gets stronger nor weaker between matches. You can assume that all matches take place on the same day.

Athletes also vary in the effort that they put into any given match. Most of the time, people pull with a moderately high amount of effort. Sometimes, an athlete won’t put in much effort and will pull with only a fraction of their strength. Other times, they may put in a lot of effort and pull extra hard, beyond what their intrinsic strength would suggest.

How hard a team pulls overall in any given match is determined by the total amount that all of the athletes on the team pull in that match. How hard each athlete pulls in a given match is determined by their intrinsic strength, modified by how much effort they put in (a lower fraction of their intrinsic strength if they don’t put in much effort, or even more than their strength if they put in more effort).

The team that pulls the hardest in a given match wins.
 
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first match, Max and Indiana beat Jamie and Emery.
In the second match, Max and Quinn beat Jamie and Avery.
In the third match, Max and Kay beat Jamie and Peyton.
In the fourth match, Max and Indiana lost to Jamie and Emery.","['Query 1: Out of 100 random athletes, where do you think Max ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Indiana ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Jamie ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how much effort do you think Max put into the fourth match?', 'Query 5: On a percentage scale from 0 to 100%, how much effort do you think Indiana put into the fourth match?', 'Query 6: On a percentage scale from 0 to 100%, how much effort do you think Jamie put into the fourth match?', 'Query 7: In a new match later this same day between Max and Indiana (Team 1) and Quinn and Peyton (Team 2), who would win and by how much?', 'Query 8: In a new match later this same day between Max and Jamie (Team 1) and Indiana and Emery (Team 2), who would win and by how much?']","In the first match, Max and Indiana beat Jamie and Emery.
In the second match, Max and Quinn beat Jamie and Avery.
In the third match, Max and Kay beat Jamie and Peyton.
In the fourth match, Max and Indiana lost to Jamie and Emery.",,explicit
9,canoe-race_effort_team-explain-away-11-dec_win_how_much_explicit_continuous_variable.txt,"
In this event, the athletes are competing in a series of canoe racing tournaments. Each tournament consists of a series of races. In each race, athletes compete as part of a team. 

An athlete's intrinsic strength remains constant throughout a tournament. An athlete neither gets stronger nor weaker between races. You can assume that all matches take place on the same day.

Athletes also vary in the effort that they put into any given race. Most of the time, people row with a moderately high amount of effort. Sometimes, an athlete won’t put in much effort and will row with only a fraction of their strength. Other times, they may put in a lot of effort and row extra hard, beyond what their intrinsic strength would suggest.

How fast a team rows overall in any given race is determined by the average rowing speed of each athlete. How fast an athlete rows in a given race is determined by their intrinsic strength, modified by how much effort they put in (a lower fraction of their intrinsic strength if they don’t put in much effort, or even more than their strength if they put in more effort).

The team that rows the fastest (highest team speed) in a given race wins.
                   
Athletes compete either individually or as a team.
All matches take place on the same day.","In the first race, Avery and Peyton beat Val and Casey.
In the second race, Avery and Jamie beat Val and Harper.
In the third race, Avery and Kay beat Val and Taylor.
In the fourth race, Avery and Peyton lost to Val and Casey.","['Query 1: Out of 100 random athletes, where do you think Avery ranks in terms of intrinsic strength?', 'Query 2: Out of 100 random athletes, where do you think Peyton ranks in terms of intrinsic strength?', 'Query 3: Out of 100 random athletes, where do you think Val ranks in terms of intrinsic strength?', 'Query 4: On a percentage scale from 0 to 100%, how much effort do you think Avery put into the fourth race?', 'Query 5: On a percentage scale from 0 to 100%, how much effort do you think Peyton put into the fourth race?', 'Query 6: On a percentage scale from 0 to 100%, how much effort do you think Val put into the fourth race?', 'Query 7: In a new race later this same day between Avery and Peyton (Team 1) and Jamie and Taylor (Team 2), who would win and by how much?', 'Query 8: In a new race later this same day between Avery and Val (Team 1) and Peyton and Casey (Team 2), who would win and by how much?']","In the first race, Avery and Peyton beat Val and Casey.
In the second race, Avery and Jamie beat Val and Harper.
In the third race, Avery and Kay beat Val and Taylor.
In the fourth race, Avery and Peyton lost to Val and Casey.",,explicit
